date;respo;broker;address;ville;code_postal;asset_type;surface;surface_loue;occupancy_rate;name_rent;name_owner;annual_rent;annual_rent_sqm;annual_rent_sqm_pot;annual_rent_pot;price;prix_m2;surface_office
01/06/2009;;Antoine Musnier (Colliers);37 rue Jean Leclaire;Paris;75017;Office;1225;0;0,00%;;LOG;;;;;7000000;5714;100%
01/01/2018;;Charles Albert (BNP);35 avenue de la Commune de Paris;Bretigny-sur-Orge;91220;Light Industrial;997;997;100%; IXIO;LOG;95000;95;65;64805;1050000;1053;31%
01/01/2014;;Cordell Pas de doc;261 rue de Paris;Montreuil;93100;Office;1484;1484;100%;;LOG;299612;202;;;3500000;2358;100%
01/01/2011;;Grivaud, Valentin (CBRE), pas de doc;2 Route de la Bonde;Massy;91300;Light Industrial;1023;1023;100%;;LOG;155000;152;;;2300000;2248;0%
;;Guissela Hernando (CBRE);9 Avenue Louis Braille;Morangis;91420;Light Industrial;3825;3825;100%;;;240000;63;55;210375;2600000;680;33%
;;Lucien Renaudin (COGIB);Avenue de la République;Saint Denis;93200;Housing;437;437;100%;;;103659;237;;;1850000;4233;
;;Lucien Renaudin (COGIB), Pas de doc;Montrouge;Montrouge;92120;Office;993;0;0%;;;;;;;3950000;3978;
;;Lucien Renaudin (COGIB), Pas de doc;Rue Duchesnay;Asnières-sur-Seine;92600;Housing;258;0;0%;;;99624;;;;1750000;6783;
;;Lucien Renaudin (COGIB), Pas de doc;59 rue Augustin Dumont;Malakoff;92240;Office;430;0;0%;;;;;;;1470000;3419;
;EHB;Charles Albert;16 rue Jean Jacque Rousseau;Grigny;91350;Light Industrial;706;706;100%;;;63000;89;90;63540;750000;1062;
;EHB;Michael HAGEGE (CW);85-87 avenue Jean-Jaurès;Montrouge;92120;Light Industrial;2212;0;0%;;;;;170;376040;6200000;2803;
;EHB;Antoine GUICHETEAU (NEXITY);7 allées des Aphleries;Le Perray en Yvelynes;78610;Light Industrial;2150;742;#VALEUR!; LOCAPOSTE ;;51800;70;;;500000;674;
;EHB;Olivier Lambin (CBRE);61 rue Emile Zola;Corbeil Essonnes;91100;Light Industrial;1530;1530;100%; TME;;88800;58;52;79560;850000;556;
;EHB;PE Maury (Cordell);1 rue des Bruyères;Asnières-sur-Seine;92600;Housing;576;576;100%;;;114000;198;;;2700000;4688;
